,#,Company,Symbol,Weight,Price,Chg,% Chg
125,126,Sherwin-Williams Company,SHW,0.177222,242.67,0.0,(0.00%)
126,127,Truist Financial Corporation,TFC,0.176101,42.59,0.0,(0.00%)
127,128,Emerson Electric Co.,EMR,0.175293,95.97,0.43,(0.45%)
128,129,Lam Research Corporation,LRCX,0.174464,411.65,-0.47,(-0.11%)
129,130,Estee Lauder Companies Inc. Class A,EL,0.174286,241.73,0.71,(0.29%)
130,131,Dollar General Corporation,DG,0.173319,247.55,0.0,(0.00%)
131,132,General Dynamics Corporation,GD,0.17265,248.58,0.68,(0.27%)
132,133,McKesson Corporation,MCK,0.170886,383.05,-0.62,(-0.16%)
133,134,Micron Technology Inc.,MU,0.167907,50.17,-0.03,(-0.06%)
134,135,Activision Blizzard Inc.,ATVI,0.167803,76.35,0.4,(0.53%)
135,136,Freeport-McMoRan Inc.,FCX,0.167732,38.1,0.0,(0.00%)
136,137,KLA Corporation,KLAC,0.165063,377.45,0.06,(0.02%)
137,138,Pioneer Natural Resources Company,PXD,0.163578,229.11,0.0,(0.00%)
138,139,Marathon Petroleum Corporation,MPC,0.163492,114.42,-0.7,(-0.61%)
139,140,HCA Healthcare Inc,HCA,0.161662,240.74,0.0,(0.00%)
140,141,O'Reilly Automotive Inc.,ORLY,0.161067,833.55,0.0,(0.00%)
141,142,Archer-Daniels-Midland Company,ADM,0.160467,94.7,0.08,(0.08%)
142,143,General Mills Inc.,GIS,0.15801,85.41,0.0,(0.00%)
143,144,Dominion Energy Inc,D,0.156805,61.0,0.21,(0.35%)
144,145,Sempra Energy,SRE,0.154236,157.75,0.0,(0.00%)
145,146,Synopsys Inc.,SNPS,0.152877,320.6,0.39,(0.12%)
146,147,American Electric Power Company Inc.,AEP,0.151679,95.69,0.0,(0.00%)
147,148,Phillips 66,PSX,0.150139,103.78,-0.16,(-0.15%)
148,149,MetLife Inc.,MET,0.149785,72.27,0.0,(0.00%)
149,150,General Motors Company,GM,0.148839,33.84,0.01,(0.03%)
150,151,Centene Corporation,CNC,0.14637,81.63,0.0,(0.00%)
151,152,American International Group Inc.,AIG,0.144858,63.16,0.0,(0.00%)
152,153,Kimberly-Clark Corporation,KMB,0.144483,137.15,0.0,(0.00%)
153,154,Valero Energy Corporation,VLO,0.144089,124.37,0.0,(0.00%)
154,155,Edwards Lifesciences Corporation,EW,0.143897,74.19,0.0,(0.00%)
155,156,AutoZone Inc.,AZO,0.142543,2430.65,0.0,(0.00%)
156,157,Roper Technologies Inc.,ROP,0.141989,430.11,0.0,(0.00%)
157,158,Amphenol Corporation Class A,APH,0.141423,75.81,0.0,(0.00%)
158,159,Occidental Petroleum Corporation,OXY,0.140406,63.95,0.0,(0.00%)
159,160,Ford Motor Company,F,0.13908,11.32,-0.04,(-0.35%)
160,161,DexCom Inc.,DXCM,0.138525,111.23,-0.21,(-0.19%)
161,162,Agilent Technologies Inc.,A,0.138416,149.23,0.0,(0.00%)
162,163,Travelers Companies Inc.,TRV,0.138358,189.48,0.0,(0.00%)
163,164,Cadence Design Systems Inc.,CDNS,0.13804,160.77,-0.68,(-0.42%)
164,165,Public Storage,PSA,0.137761,283.21,0.0,(0.00%)
